CustomerID,Age,Annual_Income,Spending_Score,Segment
1001,50,74783,43,C
1002,18,57667,64,B
1003,42,70214,87,C
1004,28,62644,71,C
1005,44,78765,57,B
1006,44,36461,82,C
1007,56,23967,75,A
1008,52,71746,33,C
1009,47,67534,29,C
1010,52,64943,81,C
1011,48,53158,53,B
1012,58,25150,42,C
1013,36,69695,80,C
1014,47,58760,23,C
1015,27,42214,33,C
1016,42,70531,71,C
1017,46,55227,47,B
1018,29,61609,81,C
1019,57,55031,78,C
1020,45,47246,61,B
1021,56,77727,99,C
1022,43,60322,42,C
1023,55,43466,38,C
1024,24,50419,83,C
1025,36,40521,34,C
1026,50,57159,28,C
1027,34,62713,77,C
1028,48,48408,54,B
1029,46,34209,68,B
1030,53,30277,21,C
1031,55,65385,84,C
1032,55,60540,69,B
1033,18,37946,48,B
1034,34,55722,93,C
1035,25,57427,88,C
1036,44,73762,30,C
1037,48,46070,67,B
1038,46,68453,29,C
1039,53,55157,59,B
1040,47,64012,68,B
1041,24,29143,38,C
1042,53,65631,63,B
1043,21,51789,90,C
1044,21,73184,27,C
1045,58,21927,72,A
1046,43,39393,52,B
1047,20,56236,92,C
1048,49,20437,25,C
1049,49,57864,74,C
1050,31,36372,64,B
1051,19,32284,20,C
1052,44,66869,82,C
1053,54,68243,81,C
1054,58,68728,63,B
1055,46,55046,33,C
1056,32,36912,23,C
1057,55,23884,86,A
1058,60,20387,50,B
1059,40,28116,28,C
1060,56,73160,87,C
1061,52,51953,25,C
1062,22,38481,20,C
1063,51,51393,76,C
1064,27,23461,26,C
1065,52,25769,72,A
1066,54,59501,32,C
1067,26,55824,60,B
1068,22,65203,38,C
1069,43,59595,95,C
1070,58,30892,93,A
1071,22,67441,43,C
1072,23,31031,68,B
1073,48,61474,76,C
1074,43,23028,74,A
1075,22,44689,95,C
1076,26,29155,40,C
1077,56,59025,48,B
1078,21,44162,89,C
1079,39,52130,56,B
1080,34,44841,79,C
1081,35,55881,35,C
1082,41,61095,25,C
1083,52,58969,63,B
1084,41,20078,64,B
1085,20,53662,86,C
1086,51,46873,70,C
1087,45,69697,57,B
1088,37,46712,75,C
1089,46,39161,89,C
1090,20,27019,92,A
1091,24,55334,39,C
1092,23,51914,65,B
1093,44,46255,57,B
1094,60,45191,92,C
1095,36,77189,64,B
1096,41,70809,60,B
1097,27,20455,84,A
1098,21,27168,84,A
1099,21,44989,79,C
1100,60,20997,82,A
1101,41,48696,84,C
1102,39,34476,53,B
1103,33,20505,85,A
1104,47,21099,50,B
1105,21,35827,72,C
1106,26,47633,39,C
1107,55,60449,39,C
1108,59,25359,24,C
1109,46,56033,96,C
1110,47,45842,26,C
1111,31,51610,76,C
1112,49,20720,46,B
1113,18,74421,57,B
1114,53,59996,79,C
1115,51,60773,23,C
1116,29,35296,31,C
1117,49,23194,56,B
1118,25,43215,95,C
1119,23,75503,34,C
1120,52,76299,31,C
1121,24,20054,23,C
1122,54,25150,70,A
1123,60,49195,66,B
1124,53,74692,31,C
1125,56,77903,61,B
1126,46,31750,28,C
1127,27,53958,27,C
1128,53,59457,20,C
1129,58,76434,47,B
1130,58,23391,48,B
1131,50,22877,80,A
1132,53,67229,28,C
1133,40,50393,75,C
1134,57,38258,33,C
1135,34,64496,55,B
1136,48,61653,70,C
1137,36,70257,25,C
1138,50,61189,86,C
1139,40,31478,95,A
1140,52,47660,27,C
1141,29,20442,91,A
1142,35,52023,60,B
1143,32,67359,66,B
1144,56,40536,47,B
1145,56,39123,85,C
1146,30,26746,26,C
1147,26,61175,78,C
1148,55,58035,83,C
1149,26,45355,67,B
1150,33,75657,39,C
1151,24,67666,52,B
1152,50,46034,40,C
1153,56,48994,64,B
1154,42,55354,82,C
1155,31,55836,53,B
1156,36,42000,62,B
1157,52,67196,53,B
1158,50,64160,38,C
1159,19,49324,75,C
1160,25,34778,35,C
1161,40,22980,93,A
1162,41,68139,97,C
1163,24,37953,26,C
1164,55,47359,86,C
1165,54,79261,64,B
1166,42,69259,98,C
1167,54,44089,90,C
1168,60,39372,57,B
1169,38,60255,59,B
1170,46,69724,52,B
1171,25,59457,29,C
1172,30,65281,54,B
1173,57,41131,29,C
1174,31,55710,50,B
1175,37,30109,50,B
1176,57,76568,65,B
1177,32,52554,49,B
1178,48,53489,23,C
1179,30,21056,54,B
1180,59,41857,92,C
1181,20,70388,28,C
1182,32,29359,56,B
1183,36,78869,32,C
1184,26,30098,72,A
1185,53,34218,45,B
1186,51,60378,66,B
1187,37,44610,58,B
1188,29,68454,24,C
1189,22,66699,56,B
1190,43,31807,26,C
1191,30,60291,81,C
1192,39,68614,25,C
1193,20,43242,41,C
1194,34,62701,53,B
1195,45,39295,53,B
1196,44,32318,51,B
1197,44,64935,67,B
1198,43,29798,35,C
1199,47,27006,98,A
1200,53,42359,53,B
1201,30,75863,68,B
1202,57,21717,90,A
1203,38,79294,50,B
1204,27,56230,67,B
1205,53,59368,86,C
1206,58,71399,67,B
1207,57,51990,61,B
1208,44,33382,25,C
1209,40,27880,88,A
1210,59,62208,25,C
1211,29,20081,87,A
1212,25,57373,47,B
1213,45,69647,56,B
1214,51,43197,73,C
1215,26,40507,81,C
1216,25,41498,34,C
1217,43,48328,33,C
1218,20,46782,54,B
1219,43,42617,38,C
1220,19,23828,28,C
1221,57,42605,54,B
1222,26,61251,51,B
1223,19,64503,45,B
1224,48,73746,59,B
1225,47,51651,31,C
1226,51,29677,50,B
1227,48,22162,26,C
1228,34,23371,24,C
1229,32,43443,74,C
1230,19,69567,89,C
1231,24,50119,72,C
1232,29,30659,75,A
1233,54,75373,30,C
1234,30,69518,36,C
1235,37,29370,35,C
1236,37,49815,64,B
1237,36,32336,97,A
1238,19,59867,31,C
1239,31,29544,43,C
1240,18,43713,47,B
1241,39,29548,94,A
1242,31,40404,57,B
1243,32,68103,94,C
1244,26,42980,100,C
1245,28,76956,84,C
1246,18,21749,47,B
1247,28,25340,53,B
1248,60,30177,100,A
1249,51,50097,23,C
1250,53,62739,89,C
1251,33,61168,53,B
1252,41,33652,56,B
1253,36,64028,92,C
1254,30,53457,89,C
1255,21,25451,40,C
1256,31,64132,52,B
1257,47,32145,77,A
1258,42,50688,85,C
1259,58,22200,68,B
1260,34,70904,88,C
1261,44,48680,89,C
1262,44,36062,64,B
1263,41,30220,70,A
1264,36,69793,64,B
1265,51,69577,54,B
1266,52,77422,58,B
1267,43,65775,30,C
1268,51,75871,28,C
1269,54,46353,74,C
1270,39,24188,55,B
1271,27,35353,22,C
1272,41,63881,63,B
1273,44,28584,45,B
1274,28,77939,68,B
1275,19,41215,98,C
1276,53,45176,89,C
1277,51,42419,91,C
1278,37,23780,20,C
1279,50,47765,44,C
1280,18,31061,51,B
1281,46,75721,27,C
1282,35,70566,63,B
1283,25,48390,30,C
1284,54,39549,24,C
1285,45,36442,23,C
1286,19,75358,65,B
1287,57,74493,29,C
1288,55,29251,64,B
1289,33,47435,60,B
1290,19,76283,70,C
1291,45,22160,59,B
1292,38,76877,31,C
1293,56,73887,81,C
1294,57,43652,79,C
1295,60,50151,88,C
1296,60,73059,88,C
1297,19,40412,98,C
1298,39,39329,82,C
1299,59,47119,80,C
1300,39,35807,77,C
1301,23,28873,49,B
1302,20,58483,81,C
1303,23,40439,45,B
1304,49,74639,44,C
1305,48,29039,57,B
1306,46,63428,98,C
1307,28,45307,69,B
1308,42,33490,58,B
1309,58,57626,80,C
1310,43,20069,80,A
1311,37,32578,52,B
1312,37,60164,85,C
1313,49,22955,30,C
